,minutes,bonus,bps,total_points,output_clean_sheets
22985,89,2,27,8,1
23524,73,0,2,2,0
24078,65,0,7,2,0
24640,12,0,13,4,0
25227,0,0,0,0,0
25817,0,0,0,0,0
26414,4,0,3,1,0
27014,0,0,0,0,0
27615,62,0,0,2,0
28218,63,0,0,2,0
28759,28,0,3,1,0
29366,0,0,0,0,0
29973,90,0,-1,2,0
30584,0,0,0,0,0
31197,0,0,0,0,0
31689,45,0,27,5,0
32247,0,0,0,0,0
32647,0,0,0,0,0
33600,0,0,0,0,0
34244,11,0,0,1,0
34894,7,0,3,1,0
35557,61,0,3,2,0
36225,0,0,0,0,0
37027,0,0,0,0,0
37770,60,0,3,2,0
39113,0,0,0,0,0
39854,0,0,0,0,0
40431,0,0,0,0,0
40817,0,0,0,0,0
41504,0,0,0,0,0
42197,0,0,0,0,0
42853,23,0,5,1,0
43414,0,0,0,0,0
44164,0,0,0,0,0
45074,0,0,0,0,0
45688,0,0,0,0,0
46396,45,0,3,1,0
47399,0,0,0,0,0
47963,45,0,-2,1,0
48539,0,0,0,0,0
49137,0,0,0,0,0
49743,0,0,0,0,0
50354,14,0,2,1,0
50967,0,0,0,0,0
51583,0,0,0,0,0
52201,0,0,0,0,0
52824,0,0,0,0,0
53448,0,0,0,0,0
54078,0,0,0,0,0
54659,0,0,0,0,0
55288,0,0,0,0,0
55927,35,0,7,1,0
56993,60,0,5,2,0
57703,0,0,0,0,0
58163,0,0,0,0,0
58459,0,0,0,0,0
59168,0,0,0,0,0
59169,0,0,0,0,0
60346,0,0,0,0,0
61691,0,0,0,0,0
61692,0,0,0,0,0
62658,0,0,0,0,0
63001,0,0,0,0,0
64298,0,0,0,0,0
65244,0,0,0,0,0
65245,0,0,0,0,0
65927,0,0,0,0,0
66697,0,0,0,0,0
67458,0,0,0,0,0
67459,0,0,0,0,0
68292,0,0,0,0,0
69068,0,0,0,0,0
70596,0,0,0,0,0
71586,0,0,0,0,0
72275,0,0,0,0,0
99105,0,0,0,0,0
99743,0,0,0,0,0
100364,0,0,0,0,0
101055,0,0,0,0,0
101761,0,0,0,0,0
102478,0,0,0,0,0
22986,90,0,17,1,0
23525,90,1,32,7,1
24079,90,3,57,15,1
24641,90,1,27,5,0
25787,90,0,14,2,0
26384,90,0,11,1,0
26984,90,0,28,6,1
27585,90,1,29,7,1
28188,90,0,8,2,0
28730,90,0,15,1,0
29336,90,0,24,5,0
29943,90,0,4,2,0
30554,90,0,14,1,0
31168,90,0,21,4,0
31667,90,0,22,6,1
32219,90,2,33,11,1
33559,90,2,26,8,1
33560,90,0,14,2,0
34213,90,1,25,5,0
34862,90,0,21,4,0
35525,90,0,10,1,0
36192,90,3,27,9,1
36988,90,3,37,12,1
37733,90,0,18,2,0
38866,90,0,11,1,0
39076,90,3,44,12,1
39822,90,0,14,2,0
40418,90,0,8,0,0
40785,90,0,11,1,0
41472,52,0,1,0,0
42164,0,0,0,0,0
42828,0,0,0,0,0
43386,90,0,17,2,0
44115,58,0,9,1,0
45051,90,1,20,3,0
45656,90,0,21,5,0
46363,90,0,29,6,1
47465,90,0,30,7,0
48031,90,0,12,2,0
48608,90,1,26,5,0
49206,90,2,27,8,1
49812,90,0,15,1,0
50423,90,0,12,2,0
51036,90,0,16,1,0
51653,90,1,27,7,1
52271,90,3,36,12,1
52894,90,0,13,2,0
53518,90,0,15,1,0
54148,90,0,20,2,0
54722,60,0,8,2,0
55358,0,0,0,0,0
55998,0,0,0,0,0
56582,0,0,0,0,0
57042,0,0,0,0,0
57757,0,0,0,0,0
58218,0,0,0,0,0
58803,0,0,0,0,0
58804,90,0,27,6,1
59546,90,2,36,6,0
60432,90,0,7,2,0
61069,90,2,30,8,1
61767,90,0,0,0,0
62769,90,3,27,8,0
63307,90,1,27,7,1
64405,90,0,9,2,0
65348,56,0,12,1,0
65658,90,0,15,1,0
66317,90,2,20,9,0
67055,90,0,15,1,0
67879,90,0,15,2,0
68687,90,0,15,2,0
69431,90,0,10,0,0
70726,90,0,30,6,1
71175,90,0,12,1,0
72355,90,0,14,1,0
72809,90,0,16,1,0
73387,90,0,14,2,0
73976,90,0,6,0,0
74575,90,0,26,6,1
75181,71,0,16,2,0
75802,0,0,0,0,0
76295,90,0,13,2,0
76875,90,0,21,5,1
77516,90,0,20,2,0
78159,90,1,19,3,0
78753,90,0,23,2,0
79389,90,2,33,8,1
80044,90,0,15,2,0
80705,90,0,12,1,0
81371,90,0,19,1,0
82043,90,0,7,1,0
82720,90,0,17,1,0
83462,22,0,3,1,0
84276,90,0,15,2,0
85020,0,0,0,0,0
85804,0,0,0,0,0
86623,0,0,0,0,0
87383,0,0,0,0,0
88132,45,0,4,1,0
88878,0,0,0,0,0
89743,0,0,0,0,0
91413,2,0,3,1,0
91414,0,0,0,0,0
92278,90,2,27,8,1
93034,90,0,7,0,0
93685,90,3,37,12,1
94406,90,0,11,1,0
95327,45,0,6,1,0
95328,90,0,14,1,0
96146,90,0,25,6,1
96961,0,0,0,0,0
97868,0,0,0,0,0
98688,70,0,10,1,0
99248,0,0,0,0,0
99871,0,0,0,0,0
100514,0,0,0,0,0
101211,0,0,0,0,0
101924,0,0,0,0,0
102641,0,0,0,0,0
73099,79,0,19,6,1
73683,59,0,3,0,0
74278,90,0,10,1,0
74880,78,0,17,1,0
75490,90,0,7,0,0
76064,90,0,14,1,0
76557,29,0,-2,0,0
77196,82,0,14,3,0
77838,0,0,0,0,0
78465,0,0,0,0,0
79066,0,0,0,0,0
79716,0,0,0,0,0
80374,0,0,0,0,0
81037,0,0,0,0,0
81705,0,0,0,0,0
82381,0,0,0,0,0
83075,0,0,0,0,0
83869,0,0,0,0,0
84666,0,0,0,0,0
85401,60,0,19,6,1
86215,0,0,0,0,0
87009,75,0,13,2,0
88504,90,0,18,5,0
89299,73,0,16,2,0
89300,90,0,15,5,1
90098,90,2,23,4,0
90813,90,0,0,0,0
90814,15,0,2,1,0
91902,73,0,11,1,0
92657,73,0,9,1,0
93381,90,0,6,2,0
94028,1,0,3,1,0
94841,90,0,14,2,0
95767,87,0,5,2,0
96548,84,0,23,5,1
97409,88,0,23,5,0
98303,69,0,20,6,1
99337,71,0,7,0,0
99955,77,0,15,5,1
100606,90,0,13,2,0
101303,81,0,19,1,0
102016,81,0,6,1,0
102733,72,0,6,1,0
48895,14,0,3,1,0
49498,0,0,0,0,0
50105,3,0,4,1,0
50717,59,0,2,1,0
51331,0,0,0,0,0
51949,0,0,0,0,0
52569,0,0,0,0,0
53192,0,0,0,0,0
53820,0,0,0,0,0
55027,5,0,3,1,0
55665,0,0,0,0,0
56287,2,0,3,1,0
57973,73,0,19,7,0
58842,79,0,3,2,0
60029,90,0,6,3,1
60030,65,0,1,3,1
60738,21,0,5,1,0
61400,90,0,13,2,0
62248,90,1,25,8,1
62249,90,0,2,3,1
63348,90,0,11,5,0
63349,90,0,6,2,0
63888,90,0,8,2,0
64862,90,0,12,2,0
66365,90,0,7,2,0
66366,84,0,0,2,0
67097,63,0,11,2,0
67924,0,0,0,0,0
67925,24,0,3,1,0
68732,19,0,3,1,0
69474,88,0,9,2,0
70111,65,0,5,2,0
71396,12,0,4,1,0
71397,11,0,3,1,0
71974,17,0,3,1,0
22987,0,0,0,0,0
23526,0,0,0,0,0
24080,0,0,0,0,0
24642,0,0,0,0,0
25638,0,0,0,0,0
26232,0,0,0,0,0
26831,0,0,0,0,0
27432,0,0,0,0,0
28034,0,0,0,0,0
28593,0,0,0,0,0
29181,0,0,0,0,0
29788,0,0,0,0,0
30398,0,0,0,0,0
31012,0,0,0,0,0
31531,0,0,0,0,0
32074,0,0,0,0,0
32531,0,0,0,0,0
33313,0,0,0,0,0
34048,0,0,0,0,0
34696,0,0,0,0,0
35357,0,0,0,0,0
36022,0,0,0,0,0
36788,0,0,0,0,0
37534,0,0,0,0,0
38581,0,0,0,0,0
39186,0,0,0,0,0
39921,0,0,0,0,0
40458,0,0,0,0,0
40884,0,0,0,0,0
41571,0,0,0,0,0
42267,0,0,0,0,0
42902,0,0,0,0,0
43475,0,0,0,0,0
44269,0,0,0,0,0
45131,0,0,0,0,0
45760,0,0,0,0,0
46468,0,0,0,0,0
22988,90,0,10,2,0
23527,90,0,26,4,0
24081,90,0,13,2,0
24643,90,0,18,3,0
25602,90,0,14,2,0
26194,90,0,24,4,0
26793,90,0,17,2,0
27394,90,0,12,2,0
27996,90,0,18,3,0
28563,90,0,13,1,0
29143,90,0,20,2,0
29750,90,0,15,2,0
30360,90,0,12,2,0
30974,90,0,12,2,0
31499,90,0,12,2,0
32037,90,0,13,1,0
32511,90,2,28,9,1
33254,90,0,11,1,0
34009,90,0,16,3,0
34657,90,0,16,3,0
35317,90,0,15,3,0
35982,90,0,4,1,0
36743,90,0,21,3,0
37492,90,0,18,3,0
38506,90,0,23,3,0
38507,90,3,32,10,1
39669,90,0,18,2,0
40355,90,0,18,1,0
41319,90,1,24,4,0
42010,90,0,13,1,0
42700,90,0,16,3,0
43255,90,2,27,9,1
43878,90,0,22,2,0
44932,90,0,22,3,0
45503,90,2,33,10,1
46207,90,0,17,3,0
46920,90,2,30,9,1
47620,0,0,0,0,0
48189,0,0,0,0,0
48771,90,0,23,6,1
49370,90,2,32,9,1
49976,90,0,13,3,0
50587,90,0,26,6,1
51200,90,0,16,2,0
51818,90,0,15,3,0
52437,90,2,38,10,1
53060,90,1,27,7,1
53687,90,0,21,1,0
54312,90,0,29,7,1
54892,90,0,23,3,0
55529,90,0,15,2,0
56159,90,3,34,11,1
56715,90,0,18,5,1
57119,90,0,10,2,0
57427,90,0,25,6,1
58475,90,0,9,1,0
59865,90,2,26,8,1
60600,90,2,31,9,1
62032,90,0,11,2,0
62033,90,0,9,2,0
63673,90,0,21,2,0
64661,90,2,31,9,1
64662,90,0,10,1,0
65431,0,0,0,0,0
65940,90,0,12,1,0
66710,90,0,10,1,0
67472,90,0,19,2,0
67473,90,0,10,1,0
68306,90,0,17,3,0
69082,90,0,12,2,0
69851,90,0,9,2,0
69852,90,0,14,2,0
71371,90,0,16,2,0
71814,90,0,9,2,0
72583,90,0,25,6,1
73159,90,0,10,1,0
73744,90,0,20,6,1
74340,90,0,12,2,0
74942,90,0,13,2,0
75554,90,0,14,2,0
76108,90,0,24,6,1
76621,90,0,12,2,0
77261,90,0,15,1,0
77903,90,3,32,10,1
79132,90,0,12,2,0
79785,90,0,24,6,1
80445,90,0,21,6,1
81108,90,0,24,6,1
81777,90,0,14,3,0
82453,90,0,15,2,0
83154,90,0,22,6,1
83959,90,3,36,11,1
84742,90,0,8,1,0
85489,90,0,14,3,0
86306,90,0,10,2,0
86307,90,0,15,1,0
87090,90,0,14,2,0
87826,90,0,20,6,1
87827,90,0,30,7,1
88585,90,0,12,1,0
89400,90,0,24,6,1
90157,90,0,13,3,0
90942,90,0,15,3,0
91983,90,0,12,1,0
92738,90,0,13,1,0
93444,90,0,11,2,0
94110,90,0,18,1,0
94945,90,0,15,3,0
95849,90,3,32,10,1
96638,90,0,14,2,0
97512,90,0,11,2,0
98386,90,0,18,6,1
99078,90,0,10,2,0
99718,90,0,25,6,1
100336,90,0,10,1,0
101026,90,0,10,2,0
101732,0,0,0,0,0
102449,0,0,0,0,0
47926,0,0,0,0,0
48502,0,0,0,0,0
49100,0,0,0,0,0
49705,0,0,0,0,0
50315,0,0,0,0,0
50927,0,0,0,0,0
51543,0,0,0,0,0
52161,0,0,0,0,0
52784,0,0,0,0,0
53408,0,0,0,0,0
54038,0,0,0,0,0
54625,0,0,0,0,0
55248,0,0,0,0,0
55887,0,0,0,0,0
56485,0,0,0,0,0
56970,0,0,0,0,0
57677,0,0,0,0,0
58696,0,0,0,0,0
59441,0,0,0,0,0
60297,0,0,0,0,0
60960,0,0,0,0,0
61644,0,0,0,0,0
62594,0,0,0,0,0
63225,0,0,0,0,0
64237,0,0,0,0,0
64238,0,0,0,0,0
65188,0,0,0,0,0
65599,0,0,0,0,0
66208,0,0,0,0,0
66955,0,0,0,0,0
68576,0,0,0,0,0
69330,0,0,0,0,0
70523,0,0,0,0,0
70524,0,0,0,0,0
71288,0,0,0,0,0
71289,0,0,0,0,0
72230,0,0,0,0,0
100768,22,0,3,1,0
101471,0,0,0,0,0
102187,0,0,0,0,0
102905,72,0,16,2,0
23528,90,0,14,1,0
24082,90,0,13,-1,0
24644,90,0,26,8,0
25655,90,0,28,6,1
26249,90,0,8,2,0
26848,90,0,6,2,0
27449,90,2,31,8,1
28051,90,0,15,1,0
28609,90,0,24,2,0
29198,90,0,25,6,1
29805,90,0,10,1,0
30415,90,0,11,1,0
31029,0,0,0,0,0
31547,90,0,24,6,1
32089,90,1,31,6,0
32542,90,0,24,6,1
33341,90,0,22,6,1
33342,90,0,14,2,0
34066,90,0,16,1,0
34714,90,3,32,8,1
35375,90,2,53,17,1
36040,90,0,24,4,0
36810,90,0,18,2,0
37555,90,0,8,2,0
38610,90,0,25,6,1
38611,90,0,24,6,1
39062,90,0,25,6,1
39809,90,0,28,5,1
40772,90,0,12,2,0
41459,90,0,19,2,0
42149,90,0,15,1,0
42818,90,3,33,9,1
44095,90,0,24,5,0
44096,0,0,0,0,0
44097,90,0,32,3,0
45643,90,0,15,2,0
46350,0,0,0,0,0
47276,90,0,8,2,0
47839,90,0,13,2,0
48415,90,2,31,8,1
49008,90,0,17,2,0
49612,90,0,20,2,0
50220,90,0,20,2,0
50832,90,0,16,2,0
51447,90,0,13,-1,0
52065,90,0,8,-1,0
52687,90,1,26,7,1
53311,90,0,15,1,0
53940,90,0,14,0,0
54541,90,0,13,2,0
55148,0,0,0,0,0
55787,0,0,0,0,0
56402,0,0,0,0,0
57609,0,0,0,0,0
58061,90,0,16,2,0
58771,83,0,13,2,0
59514,0,0,0,0,0
59515,0,0,0,0,0
60179,0,0,0,0,0
60869,0,0,0,0,0
61534,0,0,0,0,0
61535,0,0,0,0,0
62439,90,0,16,1,0
63285,90,0,27,6,1
64085,90,0,12,0,0
65048,0,0,0,0,0
66286,0,0,0,0,0
67026,90,0,15,2,0
67842,0,0,0,0,0
67843,90,0,16,0,0
68653,0,0,0,0,0
68654,0,0,0,0,0
69402,0,0,0,0,0
70343,0,0,0,0,0
72118,0,0,0,0,0
72785,0,0,0,0,0
73362,0,0,0,0,0
73950,4,0,4,1,0
74549,0,0,0,0,0
75154,0,0,0,0,0
75773,0,0,0,0,0
76844,0,0,0,0,0
77485,0,0,0,0,0
78128,0,0,0,0,0
78726,0,0,0,0,0
79358,0,0,0,0,0
80013,0,0,0,0,0
80673,0,0,0,0,0
81339,0,0,0,0,0
82011,90,0,25,6,1
82687,90,3,29,9,1
83426,68,0,22,6,1
84235,90,0,15,2,0
84236,90,0,17,2,0
84984,90,0,9,1,0
85761,86,0,17,2,0
85762,0,0,0,0,0
86580,17,0,4,1,0
87344,21,0,7,1,0
88839,0,0,0,0,0
89697,90,0,23,6,1
